name,latitude,longitude,Hotel_Name
Ledbury,51.516740000000006,-0.20007,Powis Lodge
CORE by Clare Smyth,51.512609999999995,-0.2030516,The Armitage Apartments
Le Gavroche,51.51127,-0.15517,Grand Residences by Marriott - Mayfair-London
Kitchen Table at Bubbledogs,51.52041,-0.13647,Charlotte Rooms by EveryWhere to Sleep London
Hélène Darroze at The Connaught,51.5101,-0.1495701,Aman Spa
Dinner by Heston Blumenthal,51.50208,-0.16011,"Mandarin Oriental Hyde Park, London"
Umu,51.5113,-0.14455,Bloomfield Court
Sketch (The Lecture Room & Library),51.51287,-0.14135999999999999,With Us Capital
Greenhouse,51.507690000000004,-0.14926,Bright and Central Studio Apartment
Claude Bosi at Bibendum,51.49341,-0.16908929999999997,"3 BED Apartments, SLOANE AVE"
