name,latitude,longitude,Hotel_Name
Field,50.0919,14.42193,Cozy Studio in The Old Town
La Degustation Bohême Bourgeoise,50.09115,14.42511,Rybna Large Apartment
Gastromé,56.157880000000006,10.20937,Hotel Royal
Domestic,56.158930000000005,10.212132,Iben
Substans,56.15415,10.20372,"Radisson RED Hotel, Aarhus"
Frederikshøj,56.12497,10.208638,Helnan Marselis Hotel
Me‚Mu,55.70901,9.53302,"BB-Hotel Vejle ""Park Hotel"""
Ti Trin Ned,55.566590000000005,9.752689,Baltan
Slotskøkkenet,55.771236,11.390805,Dragsholm Castle
Søllerød Kro,55.81325,12.49548,Holte Wellness & Thaimassage
Jordnær,55.748226,12.541014,Gentofte Hotel
Relæ,55.693233,12.543222,Point A
Kiin Kiin,55.691880000000005,12.55754,M18
formel B,55.67031,12.537980000000001,The Little Guesthouse
Kokkeriet,55.68768000000001,12.58492,The Motel
Clou,55.68342,12.58497,Wake up
Marchal,55.68034,12.58508,Room For Rent
Kong Hans Kælder,55.6787,12.584003,Herman K
Stud!o at The Standard,55.67799,12.59191,Copenhagen Strand
108,55.67785,12.598083500000001,Grethe Hein
Era Ora,55.673004000000006,12.591292,Jens Thomsen Nørrebro
Alouette,55.66265,12.57634,Bryggen Guldsmeden Hotels
Frederiksminde,55.12416999999999,12.04623,Hotel Frederiksminde
Kadeau Bornholm,55.004569999999994,14.969216000000001,Feriekolonien Egilsholm
Ask,60.17236,24.95648,Studio NB
Grön,60.16446,24.93308,Helsinki Homes Apartments
Demo,60.164806000000006,24.941635,Hostel & Apartment Diana Park
Olo,60.16616,24.947704,Hotel Rivoli Jardin Helsinki
Palace,60.16556,24.952560000000002,Boat Hotel in Helsinki
Ora,60.157578,24.942947,Asumo Oy
Botrini's,38.023179999999996,23.793770000000002,Olympic Athens
Varoulko Seaside,37.937378,23.658576999999998,Mikrolimano Luxury Villa
Hytra,37.95818,23.71895,athenaeum gr
Loaf On,22.379858,114.27188000000001,Central And Sai Kung
Lei Garden (Kwun Tong),22.312672,114.22482,Yue Wah Mansion
Tim Ho Wan (Sham Shui Po),22.32805,114.16665,太子中心
Lei Garden (Mong Kok),22.320219,114.17133000000001,Kai Yan Apartment
Ming Court,22.318314,114.16933,Yue Ka Hotel
Yat Tung Heen (Jordan),22.308014,114.17147,"香港逸東""智""酒店暨普慶廣場 - 私人泳池"
Fu Ho (Tsim Sha Tsui),22.3022,114.17193999999999,The Nate - Serviced Studio Apartments 尖沙咀服務式公寓
Shang Palace,22.297325,114.177155,"Kowloon Shangri-La, Hong Kong"
IM Teppanyaki & Wine,22.280807,114.19211000000001,Metropark Hotel Causeway Bay Hong Kong
Ah Yat Harbour View (Tsim Sha Tsui),22.296984,114.17197,Associated International Hotels Ltd.
Rech,22.293434,114.174034,"InterContinental Hong Kong, an IHG Hotel"
Spring Moon,22.294943,114.17182,The Peninsula Hong Kong
Imperial Treasure Fine Chinese Cuisine,22.296177,114.170006,"The Langham, Hong Kong"
Sushi Tokami,22.296112,114.16916,Tsim Apartments Huang
Tosca,22.30357,114.16006999999999,"The Ritz-Carlton, Hong Kong"
Épure,22.29583,114.169304,Tsim Apartments Huang
Yee Tung Heen,22.282295,114.18413500000001,澳門文華東方酒店-香港營業部
Yè Shanghai (Tsim Sha Tsui),22.295143,114.16823600000001,Marco Polo Hongkong Hotel
Ho Hung Kee,22.280058,114.18364,美麗華酒店(運通)企業有限公司
Jardin de Jade (Wan Chai),22.28025,114.17716000000001,Swiss-Belhotel Management Limited
Zhejiang Heen,22.2787,114.17763000000001,Forest Villa
Takumi by Daisuke Mori,22.276512,114.17718,JJ Hotel
Kam's Roast Goose,22.277693,114.175385,218 Apartment
Pang's Kitchen,22.26921,114.18451999999999,The Unit Serviced Apartments
Xin Rong Ji,22.278013,114.17273,Brighton Hotel Hong Kong
Qi (Wan Chai),22.276443,114.17126,48-50 Johnston Road
Man Wah,22.282213,114.15951000000001,"Mandarin Oriental, Hong Kong"
Summer Palace,22.277136,114.1643,"Island Shangri-La, Hong Kong"
Octavium,22.282587,114.1572,Marketing Villas Ltd
Arbor,22.283146,114.15541999999999,The Pottinger Hong Kong
VEA,22.284931,114.15313,One96
Mandarin Grill + Bar,22.281048000000002,114.1574,더 랜드마크 만다린 호텔
Yat Lok,22.28226,114.15565500000001,The Pottinger Hong Kong
Guo Fu Lou,22.278313,114.16033999999999,"The Murray, Hong Kong, a Niccolo Hotel"
